Port Name,Date,Value
Van Buren,1/1/2012 00:00,51603
Van Buren,1/1/2013 00:00,52636
Van Buren,1/1/2014 00:00,47406
Van Buren,1/1/2015 00:00,40135
Van Buren,1/1/2016 00:00,32005
Van Buren,1/1/2017 00:00,32872
Van Buren,1/1/2018 00:00,28334
Van Buren,1/1/2019 00:00,26157
Van Buren,1/1/2020 00:00,29950
Van Buren,10/1/1996 00:00,103033
Van Buren,10/1/1997 00:00,110916
Van Buren,10/1/1998 00:00,92751
Van Buren,10/1/1999 00:00,77697
Van Buren,10/1/2000 00:00,80767
Van Buren,10/1/2001 00:00,65314
Van Buren,10/1/2002 00:00,72369
Van Buren,10/1/2003 00:00,82589
Van Buren,10/1/2004 00:00,89085
Van Buren,10/1/2005 00:00,87722
Van Buren,10/1/2006 00:00,74923
Van Buren,10/1/2007 00:00,77537
Van Buren,10/1/2008 00:00,68858
Van Buren,10/1/2009 00:00,53553
Van Buren,10/1/2010 00:00,56007
Van Buren,10/1/2011 00:00,61390
Van Buren,10/1/2012 00:00,59413
Van Buren,10/1/2013 00:00,58539
Van Buren,10/1/2014 00:00,54349
Van Buren,10/1/2015 00:00,36903
Van Buren,10/1/2016 00:00,37618
Van Buren,10/1/2017 00:00,32859
Van Buren,10/1/2018 00:00,34381
Van Buren,10/1/2019 00:00,36646
Van Buren,11/1/1996 00:00,97692
Van Buren,11/1/1997 00:00,104441
Van Buren,11/1/1998 00:00,82910
Van Buren,11/1/1999 00:00,2634
Van Buren,11/1/2000 00:00,71437
Van Buren,11/1/2001 00:00,62027
Van Buren,11/1/2002 00:00,63282
Van Buren,11/1/2003 00:00,75306
Van Buren,11/1/2004 00:00,81393
Van Buren,11/1/2005 00:00,31879
Van Buren,11/1/2006 00:00,69857
Van Buren,11/1/2007 00:00,79411
Van Buren,11/1/2008 00:00,52532
Van Buren,11/1/2009 00:00,51837
Van Buren,11/1/2010 00:00,49456
Van Buren,11/1/2011 00:00,56029
Van Buren,11/1/2012 00:00,58302
Van Buren,11/1/2013 00:00,53939
Van Buren,11/1/2014 00:00,47248
Van Buren,11/1/2015 00:00,33068
Van Buren,11/1/2016 00:00,33234
Van Buren,11/1/2017 00:00,31759
Van Buren,11/1/2018 00:00,29332
Van Buren,11/1/2019 00:00,33074
