A,State,Date,Value
546,ID,8/1/2010 0:00,119267
547,ID,8/1/2011 0:00,129305
548,ID,8/1/2012 0:00,137243
549,ID,8/1/2013 0:00,140571
550,ID,8/1/2014 0:00,152163
551,ID,8/1/2015 0:00,110454
552,ID,8/1/2016 0:00,116250
553,ID,8/1/2017 0:00,117883
554,ID,8/1/2018 0:00,115449
555,ID,8/1/2019 0:00,125290
556,ID,9/1/1996 0:00,94745
557,ID,9/1/1997 0:00,86531
558,ID,9/1/1998 0:00,88862
559,ID,9/1/1999 0:00,90818
560,ID,9/1/2000 0:00,86556
561,ID,9/1/2001 0:00,78586
562,ID,9/1/2002 0:00,78138
563,ID,9/1/2003 0:00,74111
564,ID,9/1/2004 0:00,72412
565,ID,9/1/2005 0:00,67580
566,ID,9/1/2006 0:00,75029
567,ID,9/1/2007 0:00,87147
568,ID,9/1/2008 0:00,93521
569,ID,9/1/2009 0:00,91358
570,ID,9/1/2010 0:00,103226
571,ID,9/1/2011 0:00,93941
572,ID,9/1/2012 0:00,88687
573,ID,9/1/2013 0:00,90398
574,ID,9/1/2014 0:00,89698
575,ID,9/1/2015 0:00,81372
576,ID,9/1/2016 0:00,85616
577,ID,9/1/2017 0:00,78138
578,ID,9/1/2018 0:00,75942
579,ID,9/1/2019 0:00,77061
580,ME,1/1/1996 0:00,1074729
581,ME,1/1/1997 0:00,1070028
582,ME,1/1/1998 0:00,993460
583,ME,1/1/1999 0:00,943080
584,ME,1/1/2000 0:00,932478
585,ME,1/1/2001 0:00,896543
586,ME,1/1/2002 0:00,699238
587,ME,1/1/2003 0:00,782906
588,ME,1/1/2004 0:00,706200
589,ME,1/1/2005 0:00,799514
590,ME,1/1/2006 0:00,838201
591,ME,1/1/2007 0:00,629849
592,ME,1/1/2008 0:00,687040
593,ME,1/1/2009 0:00,566727
594,ME,1/1/2010 0:00,594676
595,ME,1/1/2011 0:00,584319
596,ME,1/1/2012 0:00,591582
597,ME,1/1/2013 0:00,599130
598,ME,1/1/2014 0:00,543799
599,ME,1/1/2015 0:00,474776
600,ME,1/1/2016 0:00,413844
601,ME,1/1/2017 0:00,421588
602,ME,1/1/2018 0:00,380255
603,ME,1/1/2019 0:00,352163
604,ME,1/1/2020 0:00,373019
605,ME,10/1/1996 0:00,1233200
606,ME,10/1/1997 0:00,1324266
607,ME,10/1/1998 0:00,1135198
608,ME,10/1/1999 0:00,1133843
609,ME,10/1/2000 0:00,1105885
610,ME,10/1/2001 0:00,766676
611,ME,10/1/2002 0:00,925896
612,ME,10/1/2003 0:00,751284
613,ME,10/1/2004 0:00,998055
614,ME,10/1/2005 0:00,1030325
615,ME,10/1/2006 0:00,802107
616,ME,10/1/2007 0:00,845909
617,ME,10/1/2008 0:00,761618
618,ME,10/1/2009 0:00,690182
619,ME,10/1/2010 0:00,759150
620,ME,10/1/2011 0:00,734728
621,ME,10/1/2012 0:00,742691
622,ME,10/1/2013 0:00,714185
623,ME,10/1/2014 0:00,688312
624,ME,10/1/2015 0:00,541785
625,ME,10/1/2016 0:00,549322
626,ME,10/1/2017 0:00,521802
627,ME,10/1/2018 0:00,502152
628,ME,10/1/2019 0:00,503995
629,ME,11/1/1996 0:00,1111454
630,ME,11/1/1997 0:00,1149060
631,ME,11/1/1998 0:00,1053731
632,ME,11/1/1999 0:00,947559
633,ME,11/1/2000 0:00,982172
634,ME,11/1/2001 0:00,745894
635,ME,11/1/2002 0:00,760676
636,ME,11/1/2003 0:00,695422
637,ME,11/1/2004 0:00,990113
638,ME,11/1/2005 0:00,857908
639,ME,11/1/2006 0:00,795231
640,ME,11/1/2007 0:00,775914
641,ME,11/1/2008 0:00,637589
642,ME,11/1/2009 0:00,643796
643,ME,11/1/2010 0:00,661829
644,ME,11/1/2011 0:00,687911
645,ME,11/1/2012 0:00,715206
646,ME,11/1/2013 0:00,655678
647,ME,11/1/2014 0:00,588995
648,ME,11/1/2015 0:00,474686
649,ME,11/1/2016 0:00,475615
650,ME,11/1/2017 0:00,464684
651,ME,11/1/2018 0:00,421173
652,ME,11/1/2019 0:00,433966
653,ME,12/1/1996 0:00,1124058
654,ME,12/1/1997 0:00,913892
655,ME,12/1/1998 0:00,947080
656,ME,12/1/1999 0:00,1048663
657,ME,12/1/2000 0:00,962567
658,ME,12/1/2001 0:00,764053
659,ME,12/1/2002 0:00,854559
660,ME,12/1/2003 0:00,844585
661,ME,12/1/2004 0:00,886702
662,ME,12/1/2005 0:00,937505
663,ME,12/1/2006 0:00,804212
664,ME,12/1/2007 0:00,763762
665,ME,12/1/2008 0:00,592215
666,ME,12/1/2009 0:00,640464
667,ME,12/1/2010 0:00,651022
668,ME,12/1/2011 0:00,672910
669,ME,12/1/2012 0:00,654205
670,ME,12/1/2013 0:00,616295
671,ME,12/1/2014 0:00,579672
672,ME,12/1/2015 0:00,452448
